,,Selection,,,,Comparability ,,Outcome,,,Total Quality Score
auth,pub,Representativeness of the exposed cohort (with prior subarachnoid haemorrhage),Selection of the non-exposed cohort (without prior subarachnoid haemorrhage),Ascertainment of prior subarachnoid haemorrhage,Demonstration that outcome of interest (aneurysmal rupture of observed aneurysm) was not present at start of study,Does the study consider and/or reports outcomes for stratified aneurysm sizes under 10 mm,Does the study consider/report outcomes for any additional factor (eg hypertension or smoking status or aneurysm morphology or aneurysm location),How was the outcome ie rupture of the observed aneurysm verified?,"Was follow-up long enough for outcomes to occur, ie is mean follow up is >12 YEARS?","
How complete was the follow up? ",
Bor,2015,1,1,1,1,1,0,0,0,0,5
Broderick,2009,0,0,1,1,1,1,1,0,0,5
Burns,2009,1,1,1,1,1,1,1,0,0,7
Byoun,2016,1,1,1,1,1,1,1,0,0,7
Choi,2018,1,1,1,1,0,1,0,0,1,6
Gibbs ,2004,0,0,0,1,1,1,0,0,1,4
Gondar,2016,1,1,0,1,1,1,0,0,1,6
Guresir,2013,1,1,1,1,1,1,0,0,1,7
Irazabal,2011,0,1,1,1,1,1,1,0,1,7
Jeon,2014,0,0,1,1,1,1,1,0,1,6
Jiang,2013,0,1,0,1,1,1,1,0,1,6
Juvela,2013,1,1,1,1,1,1,1,1,1,9
Loumiotis,2011,0,0,0,1,1,1,0,0,1,4
Matsubara,2004,0,1,0,1,1,1,0,0,0,4
Matsumoto,2013,1,1,0,1,1,1,1,1,1,8
Mizoi ,1995,1,1,0,1,1,1,1,1,1,8
Morita,2012,1,1,1,1,1,1,1,0,1,8
Murayama,2016,1,1,1,1,1,1,1,0,1,8
Oh,2013,0,0,0,1,0,0,1,0,1,3
Serrone,2016,1,1,1,1,1,1,1,0,1,8
So,2010,1,1,1,1,1,1,1,0,1,8
Sonobe,2010,1,1,1,1,1,1,1,0,1,8
Teo,2016,1,1,1,1,1,1,1,0,0,7
Thien,2017,0,0,0,1,1,0,0,0,0,2
Tsukahara,2005,1,1,0,1,1,1,0,0,0,5
Tsutsumi,2000,0,0,1,1,1,0,1,0,1,5
Villablanca,2013,1,1,1,1,1,1,1,0,0,7
Wiebers-R,1998,1,1,1,1,1,1,1,0,1,8
Wiebers-P,2003,1,1,1,1,1,1,1,0,1,8
Wilkinson,2018,0,0,0,0,1,1,1,0,0,3
Zylkowski,2015,1,1,1,1,1,1,1,0,0,7
,,,,,,,,,,,
,,,,,,,,,,,
"Fill in 1 into the Excel cell if a starred item is chosen during scoring, otherwise choose 0. leave no blanks",,,,,,,,,,,
