auth,pub,start,end,country,type,num_tot,fem_tot,fam_tot,multi_tot,age_mean,age_med,num_anr_tot,psah_tot,smoke_tot,fu_mean_tot,fu_med_tot,size,num,num_anr,psah,fu,rupt,rupt_psah,rupt_fatal,nos_select,nos_compare,nos_outcome,nos_total
Bor,2015,,,International,prospective,363,280,72,163,55,,468,98,131,33.6,25.2,3,,33,,,1,,,4,1,0,5
Bor,2015,,,International,prospective,363,280,72,163,55,,468,98,131,33.6,25.2,5,,269,,,2,,,4,1,0,5
Bor,2015,,,International,prospective,363,280,72,163,55,,468,98,131,33.6,25.2,7,,403,,,2,,,4,1,0,5
Bor,2015,,,International,prospective,363,280,72,163,55,,468,98,131,33.6,25.2,10,,403,,,3,,,4,1,0,5
Broderick,2009,,,International,prospective,113,75,113,,51.4,,148,0,94,,,3,72,,,,1,0,0,2,2,1,5
Broderick,2009,,,International,prospective,113,75,113,,51.4,,148,0,94,,,5,72,,,,1,0,0,2,2,1,5
Broderick,2009,,,International,prospective,113,75,113,,51.4,,148,0,94,,,7,108,,,,2,0,0,2,2,1,5
Broderick,2009,,,International,prospective,113,75,113,,51.4,,148,0,94,,,10,108,,,,2,0,0,2,2,1,5
Burns,2009,1987,2006,United States,retrospective,165,120,20,46,64,,191,12,91,,47,3,,,,,,,,4,2,1,7
Burns,2009,1987,2006,United States,retrospective,165,120,20,46,64,,191,12,91,,47,5,,,,,,,,4,2,1,7
Burns,2009,1987,2006,United States,retrospective,165,120,20,46,64,,191,12,91,,47,7,,,,,,,,4,2,1,7
Burns,2009,1987,2006,United States,retrospective,165,120,20,46,64,,191,12,91,,47,10,,173,,,1,,,4,2,1,7
Byoun,2016,2000,2008,Korea,retrospective,,,,,63.1,,654,,103,,19.2,3,,,,,,,,4,2,1,7
Byoun,2016,2000,2008,Korea,retrospective,,,,,63.1,,654,,103,,19.2,5,,525,,,,,,4,2,1,7
Byoun,2016,2000,2008,Korea,retrospective,,,,,63.1,,654,,103,,19.2,7,,591,23,,11,3,,4,2,1,7
Byoun,2016,2000,2008,Korea,retrospective,,,,,63.1,,654,,103,,19.2,10,,624,,,11,3,,4,2,1,7
Choi,2018,2007,2010,Korea,retrospective,135,110,,124,57.4,,173,21,18,73.1,72,3,,,,,,,,4,1,1,6
Choi,2018,2007,2010,Korea,retrospective,135,110,,124,57.4,,173,21,18,73.1,72,5,,160,,,,,,4,1,1,6
Choi,2018,2007,2010,Korea,retrospective,135,110,,124,57.4,,173,21,18,73.1,72,7,135,173,21,73.1,1,,,4,1,1,6
Choi,2018,2007,2010,Korea,retrospective,135,110,,124,57.4,,173,21,18,73.1,72,10,,173,21,73.1,1,,,4,1,1,6
Gibbs ,2004,1989,2002,United States,retrospective,21,14,14,1,47.9,,22,0,9,92,,3,11,12,0,92,0,0,0,1,2,1,4
Gibbs ,2004,1989,2002,United States,retrospective,21,14,14,1,47.9,,22,0,9,92,,5,18,19,0,85.6,0,0,0,1,2,1,4
Gibbs ,2004,1989,2002,United States,retrospective,21,14,14,1,47.9,,22,0,9,92,,7,21,22,0,92,0,0,0,1,2,1,4
Gibbs ,2004,1989,2002,United States,retrospective,21,14,14,1,47.9,,22,0,9,92,,10,21,22,0,92,0,0,0,1,2,1,4
Gondar,2016,2006,2014,Switzerland,prospective,292,225,38,93,55.1,,368,17,154,38.4,,3,,186,,,1,0,,3,2,1,6
Gondar,2016,2006,2014,Switzerland,prospective,292,225,38,93,55.1,,368,17,154,38.4,,5,,330,,,3,1,,3,2,1,6
Gondar,2016,2006,2014,Switzerland,prospective,292,225,38,93,55.1,,368,17,154,38.4,,7,,368,,,3,1,1,3,2,1,6
Gondar,2016,2006,2014,Switzerland,prospective,292,225,38,93,55.1,,368,17,154,38.4,,10,,368,,,3,1,1,3,2,1,6
Guresir,2013,1999,2012,Germany,retrospective,263,204,8,136,55,,384,0,151,48.5,,3,,125,0,,2,0,,4,2,1,7
Guresir,2013,1999,2012,Germany,retrospective,263,204,8,136,55,,384,0,151,48.5,,5,,284,0,,3,0,,4,2,1,7
Guresir,2013,1999,2012,Germany,retrospective,263,204,8,136,55,,384,0,151,48.5,,7,263,384,0,48.5,3,0,0,4,2,1,7
Guresir,2013,1999,2012,Germany,retrospective,263,204,8,136,55,,384,0,151,48.5,,10,263,384,0,48.5,3,0,0,4,2,1,7
Irazabal,2011,1989,2009,United States,retrospective,38,23,19,6,,49,45,0,17,94.8,,3,,21,0,,0,0,0,3,2,2,7
Irazabal,2011,1989,2009,United States,retrospective,38,23,19,6,,49,45,0,17,94.8,,5,,34,0,,0,0,0,3,2,2,7
Irazabal,2011,1989,2009,United States,retrospective,38,23,19,6,,49,45,0,17,94.8,,7,,43,0,,0,0,0,3,2,2,7
Irazabal,2011,1989,2009,United States,retrospective,38,23,19,6,,49,45,0,17,94.8,,10,38,45,0,94.8,0,0,0,3,2,2,7
Jeon,2014,2001,2011,Korea,retrospective,524,,,,59.4,,568,0,60,35.4,,3,,,,,,,,2,2,2,6
Jeon,2014,2001,2011,Korea,retrospective,524,,,,59.4,,568,0,60,35.4,,5,524,568,0,35.4,2,0,,2,2,2,6
Jeon,2014,2001,2011,Korea,retrospective,524,,,,59.4,,568,0,60,35.4,,7,524,568,0,35.4,2,0,,2,2,2,6
Jeon,2014,2001,2011,Korea,retrospective,524,,,,59.4,,568,0,60,35.4,,10,524,568,0,35.4,2,0,,2,2,2,6
Jiang,2013,2007,2012,China,retrospective,40,21,,,52.3,,50,0,,36,,3,,19,0,,0,0,,2,2,1,5
Jiang,2013,2007,2012,China,retrospective,40,21,,,52.3,,50,0,,36,,5,,19,0,,0,0,,2,2,1,5
Jiang,2013,2007,2012,China,retrospective,40,21,,,52.3,,50,0,,36,,7,,40,0,,0,0,,2,2,1,5
Jiang,2013,2007,2012,China,retrospective,40,21,,,52.3,,50,0,,36,,10,40,50,0,36,0,0,0,2,2,1,5
Juvela,2013,1956,1978,Finland,prospective,142,76,9,33,41.8,,181,131,86,,252,3,51,,51,,15,15,,4,2,3,9
Juvela,2013,1956,1978,Finland,prospective,142,76,9,33,41.8,,181,131,86,,252,5,107,,104,,22,22,,4,2,3,9
Juvela,2013,1956,1978,Finland,prospective,142,76,9,33,41.8,,181,131,86,,252,7,121,,117,,25,24,,4,2,3,9
Juvela,2013,1956,1978,Finland,prospective,142,76,9,33,41.8,,181,131,86,,252,10,135,,129,,31,30,,4,2,3,9
Loumiotis,2011,2008,2011,United States,prospective,125,92,,22,64.4,,160,0,,16.7,15.1,3,,,,,,,,1,2,1,4
Loumiotis,2011,2008,2011,United States,prospective,125,92,,22,64.4,,160,0,,16.7,15.1,5,,,,,,,,1,2,1,4
Loumiotis,2011,2008,2011,United States,prospective,125,92,,22,64.4,,160,0,,16.7,15.1,7,,,,,,,,1,2,1,4
Loumiotis,2011,2008,2011,United States,prospective,125,92,,22,64.4,,160,0,,16.7,15.1,10,125,160,0,16.7,0,0,0,1,2,1,4
Matsubara,2004,,,Japan,retrospective,140,94,32,51,62.8,,166,5,20,17.7,,3,,,,,,,,3,2,0,5
Matsubara,2004,,,Japan,retrospective,140,94,32,51,62.8,,166,5,20,17.7,,5,,125,,,0,0,0,3,2,0,5
Matsubara,2004,,,Japan,retrospective,140,94,32,51,62.8,,166,5,20,17.7,,7,,125,,,0,0,0,3,2,0,5
Matsubara,2004,,,Japan,retrospective,140,94,32,51,62.8,,166,5,20,17.7,,10,,158,,,0,0,0,3,2,0,5
Matsumoto,2013,1996,2008,Japan,retrospective,111,70,,29,65,,136,8,17,,,3,,79,,,0,0,0,3,2,3,8
Matsumoto,2013,1996,2008,Japan,retrospective,111,70,,29,65,,136,8,17,,,5,,79,,,1,,,3,2,3,8
Matsumoto,2013,1996,2008,Japan,retrospective,111,70,,29,65,,136,8,17,,,7,,113,,,1,,,3,2,3,8
Matsumoto,2013,1996,2008,Japan,retrospective,111,70,,29,65,,136,8,17,,,10,,113,,,3,,,3,2,3,8
Mizoi ,1995,1984,1993,Japan ,retrospective,49,,,,,60,67,5,,51.6,,3,15,21,,,0,0,0,4,2,3,9
